durakid	durakadi	enlem	boylam	sira	guzergahid
1634	3. 1584.SK- 1573 SK KESİŞTİGİ YER.	39.8842186	32.80020549999995	1579	43
1635	4. 1589. Sk.	39.8863874	32.79744230000006	1580	43
1636	5. 1516. CD- 1508.CD. KESİŞTİGİ YER.	39.8907687	32.79919229999996	1581	43
1637	6. 1508.CD-1507. SK. KESİŞTİGİ YER.	39.891799	32.80492060000006	1582	43
1638	7. 1427. CD- 1505 CD. KEİSŞTİGİ YER.	39.8947423	32.808663600000045	1583	43
1639	8. MUHSİN YAZICIOĞLU CD- 1431 CD. KESİŞTİGİ YER.	39.8987176	32.80958510000005	1584	43
1640	9. 1526. SK- 1525. SK KESİŞTİGİ YER.	39.897549	32.800099000000046	1585	43
1641	10. 1426. SK- 1524. SK KESİŞTİGİ YER.	39.8975374	32.79840779999995	1586	43
1643	11.1526. SK- 1527.SK KESİŞTİGİ YER.	39.8990624	32.79807559999995	1587	43
1644	12.1459. CD-1467. SK KESİŞTİGİ YER.	39.901044	32.803630999999996	1588	43
1645	13.UFUK ÜNV. CD.	39.9035689	32.803681299999994	1589	43
1646	14. UFUK ÜNV. CD- 1472. SK KESİŞTİGİ YER.	39.9064433	32.80704479999997	1590	43
1735	15.BAKANLIK HİZMET BİNASI	39.9111274	32.792684699999995	1679	43
416	9. KABİL CD- 1342. SK KESİŞTİGİ YER.	39.892052	32.82919590000006	9	44
694	8. KABİL CD-DOĞGÜN ECZ KARŞISI.	39.89075589999999	32.82912729999998	8	44
695	7. KABİL CD-1090. SK KESİŞTİGİ YER.	39.88173	32.82782499999996	7	44
696	6.KABİL CD-1318. SK KESİŞTİGİ YER.	39.8872326	32.829100400000016	6	44
697	5. KABİL CD-1064. SK KESİŞTİGİ YER.	39.87936176450566	32.82770584788511	5	44
698	4. 1057.CD- KABİL CD KESİŞTİGİ YER.	39.8781006	32.826945600000045	4	44
699	3. 1065 CD- 1057. CD. KESİŞTİGİ YER.	39.88016409999999	32.82351449999999	3	44
700	2. 1065 CD- 1088. CD. KESİŞTİGİ YER.	39.8813027	32.82363290000001	2	44
701	1. 1065 CD- 1281.SK KESİŞTİGİ YER.	39.8852266	32.823854600000004	1	44
1867	10.Kabil Cad. 1344.Sk Kesiştiği Yer.	39.8934192	32.82948609999994	1811	44
1868	11.BAKANLIK HİZMET BİNASI	39.910475	32.79354809999995	1812	44
1647	1.1065. CD-1072. CD. KESİŞTİGİ YER.	39.868170462664	32.830510145959124	1591	45
1648	2.1072. CD-1073. CD. KESİŞTİGİ YER.	39.8714871	32.82511899999997	1592	45
1649	3.1049. CD-1057. CD. KESİŞTİGİ YER.	39.87491929999999	32.83060180000007	1593	45
1650	4.SOKULLU MEHMET PAŞA CD- DAYANIŞMA SK KESİŞTİGİ YER.	39.8794094	32.833989900000006	1594	45
1651	5. SOKULLU MEHMET PAŞA CD- İĞDE SK KESİŞTİGİ YER.	39.88160269999999	32.835526999999956	1595	45
1652	6.SOKULLU MEHMET PAŞA CD- AHMET HAŞİM CD. KESİŞTİGİ YER.	39.8837902	32.836712600000055	1596	45
1653	7.SOKULLU MEHMET PAŞA CD- BAYRAM CITAK SK KESİŞTİGİ YER.	39.8906053	32.8354253	1597	45
1654	8. SOKULLU MEHMET PAŞA CD- VİRAJLI SK KESİŞTİGİ YER.	39.892878	32.834802999999965	1598	45
1745	9.BAKANLIK HİZMET BİNASI	39.9111747	32.79269499999998	1689	45
1667	1.315. CD-330 SK. KESİŞTİGİ YER.	39.88629	32.88609199999996	1611	48
1668	2. 316. CD- 392. SK KESİŞTİGİ YER.	39.88386060000001	32.884621599999946	1612	48
1669	3. 472. SK-474. SK KESİŞTİGİ YER.	39.885367	32.87881500000003	1613	48
1670	4.393. CD-470. SK KESİŞTİGİ YER.	39.8836311	32.87761320000004	1614	48
1671	5 285 SK.	39.8855358	32.86932890000003	1615	48
1672	6. 415 CD-421 SK KESİŞTİGİ YER.	39.8792001	32.87129521349175	1616	48
1673	7. 441.CD- 444 SK KESİŞTİGİ YER.	39.8792566	32.87354920000007	1617	48
1674	8. 441.CD- 448. CD KESİŞTİGİ YER.	39.8793661	32.88008669999999	1618	48
1675	9. DOĞUKENT CD. 429.SK KESİŞTİGİ YER	39.8703033	32.8734594	1619	48
1676	10. DOĞUKENT CD- CİDDE CD. KESİŞTİGİ YER.	39.86632549999999	32.86667139999997	1620	48
1711	11. DOĞUKENT CD.- 602. SK KESİŞTİGİ YER.	39.8635993	32.861666900000046	1655	48
1734	12. DOĞKENT CD.- ADANİA KEBAB ÖNÜ.	39.8619381	32.858427000000006	1678	48
1759	13. TURAN GÜNEŞ BLV.578. SK KSİŞTİGİ YER.	39.8529952	32.84909479999999	1703	48
1760	14. TURAN GÜNEŞ BLV. ÜRDÜN CD KESİŞTİGİ YER.	39.8478497	32.84069069999998	1704	48
1874	15.BAKANLIK HİZMET BİNASI	39.9104749	32.79354430000001	1818	48
488	3. DİKMEN CD- CEVİZLİ DERE CD KESİŞTİGİ YER.	39.8675789	32.82229899999993	3	50
489	4. CEVİZLİDERE CD-1114. SK KESİŞTİGİ YER.	39.8696674	32.81985780000002	4	50
490	5. CEVİZLİDERE CD- 1197. SK KESİŞTİGİ YER.	39.8725932	32.818832199999974	5	50
491	6. CEYHUN ATUF KANSU CD-1203.SK KESİŞTİGİ YER.	39.87624	32.81596999999999	6	50
492	7. CEYHUN ATUF KANSU CD- 1208. SK KESİŞTİGİ YER.	39.8777144	32.81669190000002	7	50
493	8 CEYHUN ATUF KANSU CD-1255.SK KESİŞTİGİ YER.	39.8809119	32.81627290000006	8	50
494	9. 1255. SK-1250. SK KESİŞTİGİ YER.	39.8817405	32.816676400000006	9	50
495	10. CEVİZLİ DERE CD-1231. SK KESİŞTİGİ YER.	39.8850101	32.81803220000006	10	50
498	1. DİKMEN CD- 1192.SK KESİŞTİGİ YER.	39.86094531934414	32.81427044047541	1	50
499	2. DİKMEN CD-1178.SK KESİŞTİGİ YER.	39.866271	32.82030629999997	2	50
1716	11. CEVİZLİDERE CD-1232 CD- C ATUF KANSU CD. KESİŞTİGİ YER.	39.8868679	32.81652989999998	1660	50
1742	12.BAKANLIK HİZMET BİNASI	39.9110653	32.79267110000001	1686	50
511	1. 931. CD- 936. SK KESİŞTİGİ YER.	39.85634183287445	32.82670490660712	493	51
512	2. 931. CD- 980. SK. KESİŞTİGİ YER.	39.8637729	32.832969899999966	494	51
513	3. İLKER CD- 773. SK KESİŞTİGİ YER..	39.8709232	32.84208699999999	495	51
514	4. SİNAN CD- 750. SK. KESİŞTİGİ YER.	39.8762399	32.8471194	496	51
515	5. Lojman önü.	39.8785522	32.839296099999956	497	51
516	6. DiİKMEN CD- MİMAR CAD. KESİŞTİGİ YER.	39.881244	32.83929060000003	498	51
517	7. DİKMEN CD- VEZİNLİ SK KESİŞTİGİ YER.	39.8863143	32.840073200000006	499	51
518	8. DİKMEN CD- SULTAN YUFKA ÖNÜ.	39.8903072	32.8412955	500	51
519	9. DİKMEN CD- ENDER PERDE ÖNÜ.	39.8932157	32.84143760000006	501	51
687	10. ÇETİN EMEÇ BLV.- SOKULLU MEHMET PAŞA CD. KESİŞTİGİ YER.	39.8965141	32.83436440000003	634	51
1561	11. ÇETİN EMEÇ BLV.- 1364. SK KESİŞTİGİ YER.	39.896080868725114	32.82019686931153	1508	51
1562	12.CEYHUN ATUF KANSU CD-1376.SK KESİŞTİGİ YER.	39.90129562170645	32.819018820237716	1509	51
1693	13 ZİYABEY CD- 1413. SK KESİŞTİGİ YER.	39.9085428	32.817237699999964	1637	51
1710	14. ZİYABEY CD- 1420. SK KESİŞTİGİ YER.	39.9102711	32.81982889999995	1654	51
1740	15.BAKANLIK HİZMET BİNASI	39.9112064	32.7927019	1684	51
503	1. ZÜLFÜ TİĞREL CD-KUDİS CD KESİŞTİGİ YER	39.8470058	32.82866910000007	485	53
504	2.ZÜLFÜ TİĞREL CD- LOJMAN ÖNÜ.	39.8494394	32.82348609999997	486	53
508	3. AHMET YESEVİ CD- 819 SK KESİŞTİGİ YER.	39.8554396	32.81118509999999	490	53
509	4. AHMET YESEVİ CD- 830. SK KESİŞTİGİ YER.	39.8571412	32.81206410000004	491	53
1243	5. AHMET YESEVİ CD- 837 CD. KESİŞTİGİ YER.	39.86075779999999	32.81414619999998	1190	53
1655	6.840 CD- 856. SK. KESİŞTİGİ YER.	39.86581	32.81499699999995	1599	53
1656	7. 840. CD- 861. CD. KESİŞTİGİ YER.	39.8667732	32.8141627	1600	53
